FFT: Time - Frequency (Hz),FFT: Acceleration 2 - FFT,FFT 2: Acceleration 1 - FFT
1.26953125,0.019168368,0.018038858
1.2890625,0.025940791,0.072842555
1.30859375,0.041242894,0.064126306
1.328125,0.043743696,0.064056563
1.34765625,0.05883476,0.043994779
1.3671875,0.074287007,0.044771598
1.38671875,0.081423602,0.042905592
1.40625,0.073602028,0.073079228
1.42578125,0.073151945,0.06780454
1.4453125,0.076005458,0.11370434
1.46484375,0.052217514,0.227786044
1.484375,0.051560979,0.223771841
1.50390625,0.058899602,0.094770862
1.5234375,0.028189535,0.060015395
1.54296875,0.020012967,0.068899933
1.5625,0.02662499,0.032758836
1.58203125,0.023164501,0.091166423
1.6015625,0.013586973,0.075255441
1.62109375,0.007319746,0.005762856
1.640625,0.018276553,0.0687839
1.66015625,0.02642069,0.099579311
1.6796875,0.029172691,0.103729013
1.69921875,0.022319031,0.095041394
1.71875,0.030265361,0.091956483
1.73828125,0.037223603,0.121877173
1.7578125,0.048523348,0.131042707
1.77734375,0.053068928,0.118422793
1.796875,0.077586642,0.163617589
1.81640625,0.15613487,0.140159833
1.8359375,0.181724529,0.660630303
1.85546875,0.010539023,1.608807199
1.875,0.229888739,1.848488445
1.89453125,0.259759064,1.109007152
1.9140625,0.116725302,0.360322738
1.93359375,0.019673336,0.139539222
1.953125,0.045474807,0.067879232
1.97265625,0.055908173,0.066030015
1.9921875,0.043002839,0.011992801
2.01171875,0.02180725,0.012901784
2.03125,0.013997811,0.031410488
2.05078125,0.022588161,0.078224922
2.0703125,0.023836295,0.104351303
2.08984375,0.022305648,0.095971821
2.109375,0.02068699,0.039307075
2.12890625,0.012311987,0.044642619
2.1484375,0.029920171,0.110553454
2.16796875,0.034764334,0.131752307
2.1875,0.033143835,0.073005909
2.20703125,0.034699154,0.048652394
2.2265625,0.051765037,0.147657115
2.24609375,0.084119487,0.373540529
2.265625,0.101905987,0.515044333
2.28515625,0.098601584,0.409054729
2.3046875,0.110343768,0.202046384
2.32421875,0.137576637,0.060261446
2.34375,0.138828408,0.180410513
2.36328125,0.121292557,0.146720412
2.3828125,0.12569777,0.067612842
2.40234375,0.124187968,0.068774862
2.421875,0.061255196,0.062908976
2.44140625,0.025730187,0.210105281
2.4609375,0.047843726,0.285645816
2.48046875,0.029377319,0.189710169
2.5,0.023045426,0.110325252
2.51953125,0.024850645,0.138503336
2.5390625,0.016114207,0.131683509
2.55859375,0.022141391,0.043627547
2.578125,0.03735225,0.115832002
2.59765625,0.036239461,0.140726841
2.6171875,0.02452966,0.075078185
2.63671875,0.029597449,0.112462633
2.65625,0.050043648,0.165559557
2.67578125,0.050225258,0.135574135
2.6953125,0.036677435,0.170547529
2.71484375,0.051984282,0.23885495
2.734375,0.07114781,0.212305548
2.75390625,0.17903035,0.224356819
2.7734375,0.357474153,0.211479991
2.79296875,0.390749172,0.305167607
2.8125,0.19111361,0.214591727
2.83203125,0.020760879,0.139890713
2.8515625,0.067543683,0.21621719
2.87109375,0.035697836,0.167572033
2.890625,0.035432704,0.191079648
2.91015625,0.050041521,0.148381585
2.9296875,0.037130991,0.107668095
2.94921875,0.010143421,0.059916299
2.96875,0.017897799,0.104497857
2.98828125,0.014188098,0.124779992
3.0078125,0.024305139,0.063753165
3.02734375,0.027415985,0.053594779
3.046875,0.044315451,0.097741036
3.06640625,0.060248764,0.071711899
3.0859375,0.038484671,0.012463386
3.10546875,0.005529426,0.03924642
3.125,0.029904191,0.075661997
3.14453125,0.061124414,0.126021016
3.1640625,0.084995845,0.16844687
3.18359375,0.082431311,0.114318162
3.203125,0.06426857,0.036710374
3.22265625,0.071194946,0.07702372
3.2421875,0.069266468,0.039578922
3.26171875,0.07921231,0.059963427
3.28125,0.06625318,0.095250412
3.30078125,0.046963485,0.214933972
3.3203125,0.088081604,0.461275873
3.33984375,0.141606183,0.6048871
3.359375,0.103816326,0.438674552
3.37890625,0.013588598,0.24294408
3.3984375,0.036562755,0.155083696
3.41796875,0.044302111,0.045945879
3.4375,0.030466993,0.051723778
3.45703125,0.019506718,0.087487852
3.4765625,0.034835313,0.116449397
3.49609375,0.039211913,0.102192213
3.515625,0.040509296,0.069962043
3.53515625,0.050526988,0.037312652
3.5546875,0.044075592,0.028657795
3.57421875,0.020645437,0.058228606
3.59375,0.008665035,0.068247086
3.61328125,0.032311728,0.074899151
3.6328125,0.04236217,0.066680981
3.65234375,0.022280968,0.059698345
3.671875,0.039577934,0.060688815
3.69140625,0.156813389,0.217753848
3.7109375,0.326668368,0.669288077
3.73046875,0.40774665,1.025278393
3.75,0.296026397,0.892065607
3.76953125,0.124009844,0.444885344
3.7890625,0.072534826,0.290121465
3.80859375,0.064376725,0.211006326
3.828125,0.045156391,0.139258727
3.84765625,0.015442659,0.124396974
3.8671875,0.024203788,0.073577182
3.88671875,0.036956056,0.043484717
3.90625,0.045440878,0.044410438
3.92578125,0.037907994,0.04323939
3.9453125,0.010750142,0.022971896
3.96484375,0.019947598,0.032460538
3.984375,0.037928033,0.079556575
4.00390625,0.049980153,0.084392817
4.0234375,0.046935393,0.054529294
4.04296875,0.046527124,0.038815995
4.0625,0.038128624,0.040387271
4.08203125,0.021963869,0.066340508
4.1015625,0.062987366,0.214395264
4.12109375,0.078920491,0.316455855
4.140625,0.026982795,0.312584677
4.16015625,0.048917932,0.206414291
4.1796875,0.050977042,0.094545823
4.19921875,0.014526758,0.069051258
4.21875,0.040443842,0.031583038
4.23828125,0.053319857,0.022263694
4.2578125,0.061973283,0.014254405
4.27734375,0.063912772,0.021971505
4.296875,0.051613436,0.05366201
4.31640625,0.044092987,0.059056706
4.3359375,0.015617214,0.135926483
4.35546875,0.021332547,0.151709645
4.375,0.032651418,0.104352693
4.39453125,0.035882942,0.056854097
4.4140625,0.046017924,0.028759102
4.43359375,0.039824495,0.02852629
4.453125,0.017528988,0.034730174
4.47265625,0.021798777,0.048960155
4.4921875,0.038658686,0.089139357
4.51171875,0.033820675,0.107233294
4.53125,0.012116117,0.09761067
4.55078125,0.009824579,0.093343547
4.5703125,0.015230676,0.066347025
4.58984375,0.008533091,0.032691659
4.609375,0.020899121,0.13880008
4.62890625,0.079039725,0.174794508
4.6484375,0.148277755,0.196861365
4.66796875,0.162035681,0.21942373
4.6875,0.118602123,0.177952791
4.70703125,0.065987412,0.088105547
4.7265625,0.046550597,0.080088492
4.74609375,0.043660326,0.05725664
4.765625,0.026968302,0.035058099
4.78515625,0.006104682,0.009862683
4.8046875,0.024092609,0.037746026
4.82421875,0.029477863,0.063185762
4.84375,0.007174243,0.102190522
4.86328125,0.017503908,0.078782917
4.8828125,0.017058159,0.034868065
4.90234375,0.023210262,0.025756087
4.921875,0.035289452,0.053352763
4.94140625,0.032718261,0.075723288
4.9609375,0.023598542,0.069731574
4.98046875,0.014471166,0.081147749
5,0.024924683,0.076652158
5.01953125,0.03996372,0.055380985
5.0390625,0.057536642,0.062629008
5.05859375,0.064703556,0.10228693
5.078125,0.037424067,0.108038083
5.09765625,0.012359858,0.06386081
5.1171875,0.023859953,0.031937015
5.13671875,0.01426645,0.054995125
5.15625,0.033453874,0.103484058
5.17578125,0.058649027,0.171209247
